[0.0, 7.06100743599231];{'PNTK': 0.125}
[1.2461533630218855, 1.159280001951064];{'TPI': 4, 'PPC': 16}
[0.672822259693813, 1.7666837461436777];{'UAGCVT': 32, 'PPC': 32, 'PNTK': 0.125}
[0.01611564800591191, 4.423732554428718];{'TPI': 4, 'PPC': 16, 'UAGCVT': 32, 'PNTK': 0.125}
[0.9405654213155235, 1.5183439747662855];{'UAGCVT': 8, 'HACD5': 0.125, 'G3PAT161': 2, 'PPC': 32}
[0.7095761771192707, 1.6702372073154157];{'UAGCVT': 32, 'PPC': 32}
[0.12528010926587482, 4.031842682610928];{'PNTK': 0.125, 'PPC': 32}
[1.219090476421512, 1.2184512210863174];{'TPI': 4, 'PPC': 16, 'HACD5': 0.125, 'UAGCVT': 8}
[1.089278342098206, 1.38933726499642];{'URItex': 0, 'TPI': 4, 'PPC': 16, 'UAGCVT': 32}
[1.1144210364442182, 1.3628027900127484];{'TPI': 4, 'PPC': 16, 'UAGCVT': 32, 'G3PAT161': 2}
[0.7095258794801209, 1.670276851310092];{'UAGCVT': 32, 'HACD5': 0.125, 'PPC': 32}
[0.18146189196127271, 3.799406418938629];{'PNTK': 0.125, 'G3PAT161': 2, 'PPC': 32}
[1.260399095943248, 1.1151701005214236];{'FA161ACPHi': 0, 'TPI': 4, 'PPC': 16, 'HACD5': 0.125}
[1.0391355480238806, 1.4372307318316866];{'PPC': 32}
[1.0131442106575121, 1.460026830593862];{'G3PAT161': 2, 'PPC': 32}
[1.0374201287463634, 1.4388201397422768];{'HACD5': 0.125, 'PPC': 32}
[1.2603990959434566, 1.1151701005215078];{'HACD5': 0.125, 'TPI': 4, 'PPC': 16}
[1.2615290376368824, 1.1107190379856504];{'URItex': 0, 'APCS': 0.125, 'TPI': 4, 'PPC': 16}
[1.0115491684478812, 1.4614330471993033];{'HACD5': 0.125, 'G3PAT161': 2, 'PPC': 32}
[1.2461533630220307, 1.1592800019510072];{'FA161ACPHi': 0, 'TPI': 4, 'PPC': 16}
[0.01611564800583628, 4.823910550627518];{'TPI': 4, 'PPC': 16, 'UAGCVT': 32, 'PNTK': 0.125, 'LPLIPAL1G140pp': 0.25}
